infobox_id,languages_id,box_heading
39,1,Categories
39,3,Categories
39,4,Categories
39,5,Categories
40,1,Categories
40,3,Categories
40,4,Categories
40,5,Categories
41,1,Categories
41,3,Categories
41,4,Categories
41,5,Categories
42,1,Categories
42,3,Categories
42,4,Categories
42,5,Categories
43,1,Categories
43,3,Categories
43,4,Categories
43,5,Categories
44,1,Select Template
44,3,Select Template
44,4,Select Template
44,5,Select Template
45,1,Reviews
45,3,Reviews
45,4,Reviews
45,5,Reviews
46,1,Specials
46,3,Specials
46,4,Specials
46,5,Specials
51,1,Quick Find
51,3,Quick Find
51,4,Quick Find
51,5,Quick Find
52,1,Manufacturers
52,3,Manufacturers
52,4,Manufacturers
52,5,Manufacturers
53,1,Manufacturers Info
53,3,Manufacturers Info
53,4,Manufacturers Info
53,5,Manufacturers Info
54,1,Notifications
54,3,Notifications
54,4,Notifications
54,5,Notifications
55,1,Tell A Friend
55,3,Tell A Friend
55,4,Tell A Friend
55,5,Tell A Friend
56,1,Latest products
56,3,Latest products
56,4,Latest products
56,5,Latest products
57,1,Shop by Price
57,3,Shop by Price
57,4,Shop by Price
57,5,Shop by Price
58,1,Featured
58,3,Featured
58,4,Featured
58,5,Featured
59,1,Affiliate Info
59,3,Affiliate Info
59,4,Affiliate Info
59,5,Affiliate Info
60,1,Links
60,3,Links
60,4,Links
60,5,Links
61,1,Who's Online
61,3,Who's Online
61,4,Who's Online
61,5,Who's Online
62,1,Google Ad
62,3,Google Ad
62,4,Google Ad
62,5,Google Ad
63,1,Shopping Cart
63,3,Shopping Cart
63,4,Shopping Cart
63,5,Shopping Cart
64,1,Gift Voucher
64,3,Gift Voucher
64,4,Gift Voucher
64,5,Gift Voucher
65,1,Your Account
65,3,Your Account
65,4,Your Account
65,5,Your Account
66,1,Best Sellers
66,3,Best Sellers
66,4,Best Sellers
66,5,Best Sellers
67,1,Order History
67,3,Order History
67,4,Order History
67,5,Order History
68,1,Languages
68,3,Languages
68,4,Languages
68,5,Languages
69,1,Currencies
69,3,Currencies
69,4,Currencies
69,5,Currencies
70,1,Information
70,3,Information
70,4,Information
70,5,Information
71,1,You Have a Download
71,3,You Have a Download
71,4,You Have a Download
71,5,You Have a Download
72,1,Donate
72,3,Donate
72,4,Donate
72,5,Donate
73,1,Cards We Accept
73,3,Cards We Accept
73,4,Cards We Accept
73,5,Cards We Accept
74,1,Advance Search
74,3,Advance Search
74,4,Advance Search
74,5,Advance Search
75,1,Wishlist
75,3,Wishlist
75,4,Wishlist
75,5,Wishlist
76,1,Advertise
76,3,Advertise
76,4,Advertise
