languages_id,information_id,v_order,visible,info_title,description
1,1,1,1,Terms and Conditions,This is where you place your terms and condition for your store. The check out process need it to be the first item.<br />  Look at the Admin Content Management menu.
1,2,2,1,Shipping and returns,Shipping and Returns information is entered via the Information Manager.   <br /> 
1,3,3,1,Privacy,Enter your privacy policy via the Admin tools Information Manager.<br /> 
1,4,4,1,New Item Step 1,"<table cellpadding=""4"" width=""400"" align=""center"" border=""1""><tbody><tr><td>Product Category</td><td>Product Item</td></tr><tr><td>Article Category</td><td>Article Item </td></tr><tr><td>FAQ Category </td><td>FAQ Item</td></tr><tr><td>Links Category </td><td>Links Item</td></tr><tr><td>URL Internal </td><td> URL External</td></tr><tr><td> </td><td> </td></tr><tr><td> </td><td> </td></tr><tr><td> </td><td> </td></tr></tbody></table>"
5,1,1,1,Terms and Conditions,This is where you place your terms and condition for your store. The check out process need it to be the first item.<br />  Look at the Admin Content Management menu.
5,2,2,1,Shipping and returns,Shipping and Returns information is entered via the Information Manager.   <br /> 
5,3,3,1,Privacy,Enter your privacy policy via the Admin tools Information Manager.<br /> 
5,4,4,1,New Item Step 1,"<table cellpadding=""4"" width=""400"" align=""center"" border=""1""><tbody><tr><td>Product Category</td><td>Product Item</td></tr><tr><td>Article Category</td><td>Article Item </td></tr><tr><td>FAQ Category </td><td>FAQ Item</td></tr><tr><td>Links Category </td><td>Links Item</td></tr><tr><td>URL Internal </td><td> URL External</td></tr><tr><td> </td><td> </td></tr><tr><td> </td><td> </td></tr><tr><td> </td><td> </td></tr></tbody></table>"
3,1,1,1,Terms and Conditions,This is where you place your terms and condition for your store. The check out process need it to be the first item.<br />  Look at the Admin Content Management menu.
3,2,2,1,Shipping and returns,Shipping and Returns information is entered via the Information Manager.   <br /> 
3,3,3,1,Privacy,Enter your privacy policy via the Admin tools Information Manager.<br /> 
3,4,4,1,New Item Step 1,"<table cellpadding=""4"" width=""400"" align=""center"" border=""1""><tbody><tr><td>Product Category</td><td>Product Item</td></tr><tr><td>Article Category</td><td>Article Item </td></tr><tr><td>FAQ Category </td><td>FAQ Item</td></tr><tr><td>Links Category </td><td>Links Item</td></tr><tr><td>URL Internal </td><td> URL External</td></tr><tr><td> </td><td> </td></tr><tr><td> </td><td> </td></tr><tr><td> </td><td> </td></tr></tbody></table>"
4,1,1,1,Terms and Conditions,This is where you place your terms and condition for your store. The check out process need it to be the first item.<br />  Look at the Admin Content Management menu.
4,2,2,1,Shipping and returns,Shipping and Returns information is entered via the Information Manager.   <br /> 
4,3,3,1,Privacy,Enter your privacy policy via the Admin tools Information Manager.<br /> 
4,4,4,1,New Item Step 1,"<table cellpadding=""4"" width=""400"" align=""center"" border=""1""><tbody><tr><td>Product Category</td><td>Product Item</td></tr><tr><td>Article Category</td><td>Article Item </td></tr><tr><td>FAQ Category </td><td>FAQ Item</td></tr><tr><td>Links Category </td><td>Links Item</td></tr><tr><td>URL Internal </td><td> URL External</td></tr><tr><td> </td><td> </td></tr><tr><td> </td><td> </td></tr><tr><td> </td><td> </td></tr></tbody></table>"

